TP9-TP9,TP9-AF7,TP9-AF8,TP9-TP10,AF7-TP9,AF7-AF7,AF7-AF8,AF7-TP10,AF8-TP9,AF8-AF7,AF8-AF8,AF8-TP10,TP10-TP9,TP10-AF7,TP10-AF8,TP10-TP10
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
